month,NDVI_mean,NDVI_std,MNDWI_mean,MNDWI_std,NBR_mean,NBR_std
1,0.3127440864958148,0.01483958052250194,-0.44020539683211335,0.012084946842535166,0.09963112480085516,0.023871508421610538
2,0.2705682812972725,0.016686800396733394,-0.4273776308177524,0.04570445317017471,0.05547364356383777,0.02390439180948947
3,0.28582312879340777,0.027231274720844672,-0.41357206252604906,0.012511950257186011,0.059429051338129965,0.022852317855697208
4,0.4081309940543325,0.06152393784117879,-0.442511687317016,0.04162322952392434,0.14781715352856767,0.04152234284877869
5,0.5400337752276301,0.04314900527129165,-0.4045878477208297,0.044164863375471056,0.3229788499336405,0.04790751645971326
6,0.5567132369846013,0.03288471435423138,-0.32663126795955766,0.020837725819125144,0.4181947806965564,0.019105316342871645
7,0.648275097307248,0.011249222030512505,-0.4050779865017749,0.02071458706284173,0.4582123984790711,0.025267621149362384
8,0.5971661186013877,0.02456985251544212,-0.36966308912917756,0.05766442766514424,0.4289744854409464,0.02514544533682445
9,0.5511354783262049,0.049743572806238055,-0.32419021248152297,0.06305789698288289,0.43073812452928695,0.005357557384158659
10,0.5818317118714308,0.06652767313998233,-0.36670318463149326,0.08417569232983467,0.4300774468394762,0.016547506258612964
11,0.5514478218055735,0.03368900290729058,-0.44900279488674827,0.008651890852693536,0.3315450444436591,0.036218082723073544
12,0.4489632056876826,0.050153863751426116,-0.4973480315979639,0.020041965732433994,0.19843693490469946,0.03539826157123801
