date,month,precipitation,year,precipitation_mean,precipitation_std,z_precipitation
2000-01-01,1,1.9782235949933238,2000,4.3391869797813385,5.937198094161852,-0.3976561582322123
2000-02-01,2,0.0,2000,11.64356935728168,13.29139848912826,-0.8760228930616724
2000-03-01,3,12.47130771978118,2000,33.944871083505596,19.899972018727915,-1.079075053146587
2000-04-01,4,133.20737928897142,2000,113.52077304994008,32.63089800654382,0.6033118130884226
2000-05-01,5,124.34005400849492,2000,176.61005974572427,42.39669549821466,-1.2328792403037747
2000-06-01,6,184.57449436560273,2000,178.15213825905576,34.12013792721124,0.18822772991855527
2000-07-01,7,147.519626343681,2000,205.79268096131557,51.84837348634735,-1.1239128770930287
2000-08-01,8,238.92708172109997,2000,216.6827667095796,69.25379687440768,0.32119993437848054
2000-09-01,9,242.31958009445225,2000,236.8360261560407,46.866101861715556,0.117004694663778
2000-10-01,10,147.5922182497161,2000,156.41062952095487,45.7663167047445,-0.19268343852378636
2000-11-01,11,4.994669988536771,2000,14.43278199392981,13.636496516823462,-0.6921214693047558
2000-12-01,12,5.916476654596181,2000,3.5870408676794963,3.055261729364951,0.7624341196460664
2001-01-01,1,2.480964873007906,2001,4.3391869797813385,5.937198094161852,-0.312979637415274
2001-02-01,2,0.9154483541087757,2001,11.64356935728168,13.29139848912826,-0.8071476460470283
2001-03-01,3,27.880809624173708,2001,33.944871083505596,19.899972018727915,-0.30472713497410875
2001-04-01,4,169.95656140038045,2001,113.52077304994008,32.63089800654382,1.7295199273744382
2001-05-01,5,130.72827014699578,2001,176.61005974572427,42.39669549821466,-1.082202022104779
2001-06-01,6,147.8825595160015,2001,178.15213825905576,34.12013792721124,-0.8871470217274209
2001-07-01,7,183.44335883390158,2001,205.79268096131557,51.84837348634735,-0.4310515571582777
2001-08-01,8,163.88810125761665,2001,216.6827667095796,69.25379687440768,-0.7623360427112248
2001-09-01,9,264.5803382843733,2001,236.8360261560407,46.866101861715556,0.5919910345903256
2001-10-01,10,69.38080166116379,2001,156.41062952095487,45.7663167047445,-1.9016131103853697
2001-11-01,11,0.27100885155959986,2001,14.43278199392981,13.636496516823462,-1.0385199105135774
2001-12-01,12,2.8243869724367414,2001,3.5870408676794963,3.055261729364951,-0.2496198240277358
2002-01-01,1,0.04326262498580036,2002,4.3391869797813385,5.937198094161852,-0.723560892977412
2002-02-01,2,7.00379478794639,2002,11.64356935728168,13.29139848912826,-0.3490809919761571
2002-03-01,3,43.98150834337139,2002,33.944871083505596,19.899972018727915,0.5043543403186842
2002-04-01,4,143.35105196817312,2002,113.52077304994008,32.63089800654382,0.9141727853230047
2002-05-01,5,108.88020079710986,2002,176.61005974572427,42.39669549821466,-1.5975268391251514
2002-06-01,6,115.46860568050761,2002,178.15213825905576,34.12013792721124,-1.8371418284495635
2002-07-01,7,290.30314587056637,2002,205.79268096131557,51.84837348634735,1.629954022212558
2002-08-01,8,263.96176037564874,2002,216.6827667095796,69.25379687440768,0.6826917194418953
2002-09-01,9,223.44166642054915,2002,236.8360261560407,46.866101861715556,-0.2858005936788454
2002-10-01,10,184.87172307819128,2002,156.41062952095487,45.7663167047445,0.6218786130605505
2002-11-01,11,15.813495378826701,2002,14.43278199392981,13.636496516823462,0.10125132824208136
2002-12-01,12,0.6439147608084568,2002,3.5870408676794963,3.055261729364951,-0.9632975396457379
2003-01-01,1,6.932515436411904,2003,4.3391869797813385,5.937198094161852,0.43679331824562667
2003-02-01,2,8.58070713966299,2003,11.64356935728168,13.29139848912826,-0.23043942442354473
2003-03-01,3,15.062310056871866,2003,33.944871083505596,19.899972018727915,-0.948873747604434
2003-04-01,4,80.52890933146682,2003,113.52077304994008,32.63089800654382,-1.0110620833008348
2003-05-01,5,126.13682848561439,2003,176.61005974572427,42.39669549821466,-1.190499180820244
2003-06-01,6,204.669077783823,2003,178.15213825905576,34.12013792721124,0.777163901896764
2003-07-01,7,248.08029049885226,2003,205.79268096131557,51.84837348634735,0.8156014681670163
2003-08-01,8,141.61500277603045,2003,216.6827667095796,69.25379687440768,-1.0839516000788396
2003-09-01,9,229.49042120203376,2003,236.8360261560407,46.866101861715556,-0.1567359917340916
2003-10-01,10,133.7192462655221,2003,156.41062952095487,45.7663167047445,-0.49580968907380774
2003-11-01,11,36.9197186575293,2003,14.43278199392981,13.636496516823462,1.6490259529533242
2003-12-01,12,0.974353826340348,2003,3.5870408676794963,3.055261729364951,-0.8551434452334813
2004-01-01,1,2.954728476375749,2004,4.3391869797813385,5.937198094161852,-0.23318381523549825
2004-02-01,2,0.7936768765503075,2004,11.64356935728168,13.29139848912826,-0.8163093213709659
2004-03-01,3,9.17484911527572,2004,33.944871083505596,19.899972018727915,-1.244726472224119
2004-04-01,4,151.90554840303957,2004,113.52077304994008,32.63089800654382,1.1763321789489762
2004-05-01,5,240.06732509285212,2004,176.61005974572427,42.39669549821466,1.49675026794954
2004-06-01,6,183.4995849015686,2004,178.15213825905576,34.12013792721124,0.15672406289565963
2004-07-01,7,193.52590908587445,2004,205.79268096131557,51.84837348634735,-0.2365893286637274
2004-08-01,8,156.75185749010416,2004,216.6827667095796,69.25379687440768,-0.8653808444345749
2004-09-01,9,244.49365208670497,2004,236.8360261560407,46.866101861715556,0.16339370304914785
2004-10-01,10,169.93980428333452,2004,156.41062952095487,45.7663167047445,0.2956142363315227
2004-11-01,11,4.334543532680982,2004,14.43278199392981,13.636496516823462,-0.7405302710113661
2004-12-01,12,3.103034510755606,2004,3.5870408676794963,3.055261729364951,-0.15841731406248236
2005-01-01,1,2.9566436768909625,2005,4.3391869797813385,5.937198094161852,-0.2328612387465822
2005-02-01,2,19.819087773008505,2005,11.64356935728168,13.29139848912826,0.6150984354591442
2005-03-01,3,31.327846591782873,2005,33.944871083505596,19.899972018727915,-0.1315089533422376
2005-04-01,4,112.50736641192498,2005,113.52077304994008,32.63089800654382,-0.03105665795075174
2005-05-01,5,145.76122385678536,2005,176.61005974572427,42.39669549821466,-0.72762359250942
2005-06-01,6,221.81994108576328,2005,178.15213825905576,34.12013792721124,1.2798249209855008
2005-07-01,7,143.20062010500988,2005,205.79268096131557,51.84837348634735,-1.2072135854519594
2005-08-01,8,108.60335336989738,2005,216.6827667095796,69.25379687440768,-1.560627983122501
2005-09-01,9,190.17164381427574,2005,236.8360261560407,46.866101861715556,-0.9956958331941966
2005-10-01,10,159.07020762464344,2005,156.41062952095487,45.7663167047445,0.058112129076204666
2005-11-01,11,14.007775545782124,2005,14.43278199392981,13.636496516823462,-0.031166835823508758
2005-12-01,12,9.360689075055006,2005,3.5870408676794963,3.055261729364951,1.8897393149278858
2006-01-01,1,17.183877118142846,2006,4.3391869797813385,5.937198094161852,2.1634262382102274
2006-02-01,2,14.846541886118303,2006,11.64356935728168,13.29139848912826,0.24098085174833214
2006-03-01,3,49.11796362322548,2006,33.944871083505596,19.899972018727915,0.7624680338967534
2006-04-01,4,65.76171520513981,2006,113.52077304994008,32.63089800654382,-1.4636145727654395
2006-05-01,5,264.15315568447113,2006,176.61005974572427,42.39669549821466,2.06485658634488
2006-06-01,6,142.23425468429923,2006,178.15213825905576,34.12013792721124,-1.052688698134235
2006-07-01,7,252.80917976261117,2006,205.79268096131557,51.84837348634735,0.9068075937555866
2006-08-01,8,294.7877817613189,2006,216.6827667095796,69.25379687440768,1.1278084173981593
2006-09-01,9,276.7860615061363,2006,236.8360261560407,46.866101861715556,0.8524292348438391
2006-10-01,10,182.86965506826527,2006,156.41062952095487,45.7663167047445,0.5781331654458322
2006-11-01,11,3.935325792306685,2006,14.43278199392981,13.636496516823462,-0.7698059533599648
2006-12-01,12,0.8224703774001227,2006,3.5870408676794963,3.055261729364951,-0.9048555361749651
2007-01-01,1,0.034244963640958304,2007,4.3391869797813385,5.937198094161852,-0.7250797342223604
2007-02-01,2,14.609520525572407,2007,11.64356935728168,13.29139848912826,0.22314816388333675
2007-03-01,3,22.61155968079038,2007,33.944871083505596,19.899972018727915,-0.5695139366050067
2007-04-01,4,103.99040505476296,2007,113.52077304994008,32.63089800654382,-0.2920657590626494
2007-05-01,5,227.69579930230975,2007,176.61005974572427,42.39669549821466,1.2049462571614034
2007-06-01,6,190.52145039808238,2007,178.15213825905576,34.12013792721124,0.3625223369675167
2007-07-01,7,267.98355456897116,2007,205.79268096131557,51.84837348634735,1.1994758837330088
2007-08-01,8,256.6858074469492,2007,216.6827667095796,69.25379687440768,0.5776295675154883
2007-09-01,9,261.04003628343344,2007,236.8360261560407,46.866101861715556,0.5164502522272872
2007-10-01,10,171.50644810125232,2007,156.41062952095487,45.7663167047445,0.3298456084566774
2007-11-01,11,20.21134743838047,2007,14.43278199392981,13.636496516823462,0.42375733659460085
2007-12-01,12,5.798388581590757,2007,3.5870408676794963,3.055261729364951,0.7237833972315356
2008-01-01,1,3.1555334492004476,2008,4.3391869797813385,5.937198094161852,-0.19936231060654647
2008-02-01,2,0.0,2008,11.64356935728168,13.29139848912826,-0.8760228930616724
2008-03-01,3,33.47762700921703,2008,33.944871083505596,19.899972018727915,-0.02347963473761877
2008-04-01,4,125.05853736299014,2008,113.52077304994008,32.63089800654382,0.3535840267324629
2008-05-01,5,174.11256519332528,2008,176.61005974572427,42.39669549821466,-0.05890776446254309
2008-06-01,6,189.541181261593,2008,178.15213825905576,34.12013792721124,0.3337924080738942
2008-07-01,7,239.3057532683015,2008,205.79268096131557,51.84837348634735,0.6463668974265999
2008-08-01,8,295.42143535614014,2008,216.6827667095796,69.25379687440768,1.1369581481482343
2008-09-01,9,210.61456687375903,2008,236.8360261560407,46.866101861715556,-0.5594973390287814
2008-10-01,10,120.44192831440523,2008,156.41062952095487,45.7663167047445,-0.7859208211706676
2008-11-01,11,0.8728744919442306,2008,14.43278199392981,13.636496516823462,-0.99438352697532
2008-12-01,12,8.135632037778578,2008,3.5870408676794963,3.055261729364951,1.48877299983217
2009-01-01,1,19.051236744948255,2009,4.3391869797813385,5.937198094161852,2.4779449046231967
2009-02-01,2,9.107699354619399,2009,11.64356935728168,13.29139848912826,-0.1907903073357181
2009-03-01,3,20.47291197409504,2009,33.944871083505596,19.899972018727915,-0.6769838217225662
2009-04-01,4,152.95665223989636,2009,113.52077304994008,32.63089800654382,1.2085440977458783
2009-05-01,5,164.65472495928407,2009,176.61005974572427,42.39669549821466,-0.2819874201503192
2009-06-01,6,203.85977668513078,2009,178.15213825905576,34.12013792721124,0.7534447393183853
2009-07-01,7,221.60678372718394,2009,205.79268096131557,51.84837348634735,0.3050067283216227
2009-08-01,8,281.66227688640356,2009,216.6827667095796,69.25379687440768,0.9382808323804228
2009-09-01,9,195.0466868430376,2009,236.8360261560407,46.866101861715556,-0.8916751693219099
