ADM1_NAME,s2_ha,s1_ha,fused_ha,population,pop_affected
Borno,16368.6,410797.7,424362.5,5760657.9,299298.0
Yobe,63146.1,342999.2,383515.6,3204225.9,309451.2
Sokoto,8098.1,322323.3,327680.9,4884097.9,341804.0
Taraba,164363.7,223579.2,289188.8,2918794.3,158812.3
Niger,186560.9,149985.1,233480.9,5378856.5,188230.9
