osmid,lat,lon
3856230400,7.9901821,6.9007565
7942940674,8.1632472,6.7849219
7942940675,8.1601496,6.7850333
7942940678,8.1607689,6.7841139
7942940679,8.1595316,6.7822304
10242385927,8.0464068,6.8316626
5991573516,8.0264734,6.7955033
10201946125,8.1069912,6.761804
10242385938,8.0468274,6.8331175
10242385940,8.0456693,6.8330298
10242385947,8.046455,6.8330946
5210351645,8.1641993,6.7974489
5725071390,7.9248254,6.8670961
5210351647,8.1634212,6.7880595
10200387618,8.0374853,6.8742362
10200387619,8.0370561,6.8751782
10242385956,8.047665,6.8334302
10242385958,8.0477779,6.8335042
6003273767,7.8536889,6.9187138
10242385959,8.0476529,6.8335199
3856230439,8.0030079,6.8927874
10242510890,8.0622848,6.8154173
10242385964,8.0476837,6.8328725
10242510896,8.0630523,6.8165865
10209945648,8.0033293,6.8924072
10217150514,8.0943993,6.8006529
10242385972,8.0452215,6.8312942
10200387637,8.0374946,6.8720287
5725071413,7.9773535,6.8605086
5210351671,8.1664639,6.7872756
10209945658,8.0041669,6.892286
5210351676,8.1647288,6.7861018
10214701118,7.9677588,6.9229598
5975353410,7.9331963,6.9174304
5210351683,8.1618649,6.7833926
10214701124,7.966177,6.9242967
10209962055,8.0118553,6.8816961
5210351688,8.1612979,6.7855529
5975353416,7.9304742,6.9158446
5210351693,8.158919,6.7787674
6069276749,8.0637546,6.7812283
7942961231,8.1783051,6.77894
5210351696,8.158688,6.7740091
10162024528,8.0553151,7.0475471
10200387670,8.0369475,6.8750891
7942961239,8.1854946,6.7801737
7942961243,8.1867649,6.7816262
7942961248,8.187945,6.7854872
5210351718,8.1839156,6.7550164
7942961254,8.1662595,6.786308
5210351724,8.1854297,6.7531829
5210349677,8.0894537,6.764707
10214701178,7.9619171,6.9268
10214701179,7.9620232,6.9318154
10189140094,7.857745,6.9431636
7603085442,8.045514,6.9535873
10250524811,7.9367959,6.8662512
10250524816,7.9368227,6.8654158
10250524817,7.937309,6.866262
10213904529,7.9335167,6.9561254
10250524822,7.9377788,6.8660903
10225696918,7.9299907,6.9153703
10225696922,7.929733,6.915743
10225696923,7.9298868,6.9158552
10225696926,7.9294884,6.9161676
10250524834,7.9399556,6.8623274
7942961315,8.1691415,6.7886422
10225662116,7.9301976,6.9155116
5210351781,8.1930209,6.7450551
10250524838,7.9398381,6.8634779
10225696935,7.9292383,6.9167849
10267695272,8.0218115,6.790849
6095599780,8.169857,6.7413716
10231011498,7.9713158,6.9161537
10225696939,7.9289201,6.9164348
7942961317,8.1694508,6.7893255
7942961320,8.1695185,6.7888682
6095599785,8.1705585,6.7407876
6095599786,8.1718004,6.7391548
10225696946,7.9288419,6.9155111
7942961332,8.1693751,6.7881292
10225696951,7.9297228,6.9151364
10225696952,7.9295278,6.9160607
10231011513,7.9654008,6.9181182
5974898874,7.9848116,6.7901482
10214701244,7.9660954,6.9243717
5974788285,7.9358791,6.7947062
5974898877,7.9841199,6.7901676
5974898878,7.9839393,6.7901407
10225696958,7.9288622,6.91598
10207043777,8.0250079,6.9033457
3856201924,7.895812,6.8559392
10225696965,7.9282027,6.9160759
7942961349,8.1791082,6.7909791
10240299207,8.0627153,6.8504617
5974788297,7.9376703,6.7947451
10267695307,8.0219848,6.7910019
10167914700,7.9869169,6.7905015
5974788301,7.938147,6.7946354
10233403605,8.0888982,6.76514
10242410711,8.0466344,6.8342561
10225696984,7.9303054,6.9168616
10242410713,8.0466546,6.833838
10213904601,7.9334123,6.9564347
10242128087,8.0608821,6.783923
10207516892,8.0020529,6.9474172
10225696989,7.9312196,6.9163682
10213904605,7.9330769,6.9561702
10214701276,7.967126,6.9292128
10225696993,7.9306723,6.9166895
10214924514,7.9861953,6.9042142
10185634017,8.0376221,6.890088
10225696997,7.9310554,6.9162313
7603085542,8.0909174,6.9841777
10185634021,8.0384614,6.8934113
6097588456,8.0902845,6.8018087
6027948269,8.1003222,6.7527661
6027948270,8.1003588,6.753699
10225697007,7.932105,6.9168631
10225697006,7.9306019,6.9173647
10201946349,8.1202282,6.7511979
10182004978,8.0964531,6.7936707
10225697017,7.9305806,6.9171267
10225697018,7.9310965,6.9170934
7942961405,8.1658028,6.7991987
10214711552,7.9622274,6.9262279
10225697025,7.9314508,6.9165217
10214711555,7.9619946,6.9267264
10214711556,7.9625056,6.9262987
10225697031,7.9288112,6.9146301
10225697034,7.9291366,6.914406
10235552012,8.0809797,6.8077108
10209956109,8.0155328,6.8903462
10235552014,8.0812742,6.8083693
10235552015,8.081869,6.8091433
5974921487,8.0644937,6.7822141
5974921486,8.0645743,6.7817861
10209956110,8.0156115,6.8903065
10225697041,7.9285473,6.9137433
10235552020,8.0808339,6.8069484
10235552021,8.0804336,6.8063997
5975269645,7.9752684,6.8625176
10235552023,8.07982,6.8057559
10235552024,8.0828561,6.8063081
10235552025,8.0824638,6.8057715
10235552026,8.082072,6.8052372
10208499991,8.0678836,6.8381711
10156857625,7.9721446,6.957972
5975269658,7.9768613,6.865314
10235552030,8.0812109,6.8042152
10235552031,8.0811727,6.8074971
10214701340,7.9696998,6.9202598
10235552033,8.0836533,6.8057296
10235552034,8.0838048,6.8059462
10214701343,7.9695397,6.9198529
10214701348,7.969642,6.9191747
10235552037,8.0827644,6.8029413
10235552038,8.0847484,6.8052762
10209909032,8.0047914,6.889332
5974898989,7.9821543,6.7902963
10225697073,7.9300172,6.9140955
10209909042,8.006308,6.8888545
10209956149,8.0135604,6.8962709
3799447861,7.8568775,6.9413713
10209909049,8.0005713,6.8951625
10209909051,8.0004624,6.8956035
10209909057,8.0007692,6.8970252
10225697090,7.9310474,6.9157041
10225697091,7.9314815,6.9159233
5974899012,7.9835536,6.7889273
10184384835,8.0452494,6.8406251
10225697094,7.931643,6.9155297
10225697098,7.9313778,6.9149023
10184384844,8.0462351,6.8409235
10187966797,7.9734043,6.8631899
10184384846,8.0465237,6.8409235
10184384856,8.0478187,6.8409164
10207027546,8.0325794,6.8829041
7942961504,8.1634502,6.7878973
7942961513,8.1596059,6.7851037
7942961516,8.1617088,6.7860708
10209956205,8.002478,6.8998688
10209907053,8.0012358,6.897652
7942961517,8.1591533,6.7849696
7942961521,8.1566907,6.7838833
10188034418,8.006469,6.8571424
7942961522,8.1577368,6.7848395
10214701425,7.9655527,6.9315922
7942961524,8.157916,6.7844143
6130995574,7.8671791,6.8705081
10157582711,7.9873022,6.9028154
7942961525,8.1580903,6.784209
10188034425,8.0066891,6.8576753
10188034426,8.0064929,6.8571773
10197334389,7.8646002,6.883622
10209956220,8.002988,6.9017705
10213904766,7.9341962,6.9556029
6130995583,7.8680647,6.870689
10213904768,7.9341161,6.9561603
3874539905,8.1783263,6.9334441
10207027584,8.0224653,6.8841531
10213904769,7.9346996,6.9564114
7942961537,8.1594054,6.7801637
10248671622,8.0662879,6.837619
6130995591,7.8672426,6.8711035
3874539911,8.1805387,6.9666537
10248671626,8.0665024,6.837936
10213904778,7.934168,6.9554575
10248671630,8.0664416,6.8373555
10209956243,8.0048818,6.9014245
10213904787,7.9335336,6.9560118
10213904788,7.9341928,6.9558831
10213904791,7.9342868,6.9557167
10213904793,7.9341072,6.955485
6130538907,7.8468982,6.7958399
6130538908,7.8449406,6.7953269
10248671643,8.0658601,6.8374665
10213904797,7.9338686,6.9552311
10213904798,7.9344525,6.9551376
7942961565,8.151423,6.7809033
5974600097,8.1064416,6.7638807
6027950499,8.1001958,6.7539465
6027950500,8.1003237,6.7524258
10261060003,8.0504099,6.8452844
5974600102,8.1062982,6.7650729
10213886375,7.9366135,6.9578918
5975073192,7.9373734,6.8653215
10261115305,8.0109141,6.8551415
5973729706,7.86925,6.870836
10214664615,7.9515077,6.934894
10261115310,8.0063128,6.8592139
10264760751,8.034693,6.7930359
10223276463,8.0077267,6.867249
6026273205,7.9612607,6.7944349
10264760758,8.0352672,6.7928073
10260996534,8.0455919,6.8353528
10261115323,8.0065349,6.8577777
7942961595,8.1489888,6.7734652
10264760768,8.0348457,6.7935858
10264760769,8.0346136,6.7936004
10264760770,8.0344834,6.7936044
7942961603,8.1461725,6.7712688
10213904836,7.9344185,6.9570328
10260996548,8.0445266,6.8353688
10213904838,7.9342734,6.956929
6663123401,8.1665174,6.787411
10264760777,8.0357055,6.7931647
10213904843,7.9334898,6.9565319
6026273228,7.9579729,6.7939466
6663123404,8.1664028,6.7875445
10213904845,7.9333479,6.9565383
10213904846,7.9340179,6.95676
5975073229,7.9438863,6.8649279
10260996560,8.0483563,6.8350625
5975073235,7.9432433,6.8667356
10264760789,8.0355118,6.792746
5974630870,7.903285,6.7965753
10261115350,8.0110949,6.8555498
10209956314,8.000292,6.8954494
6026273242,7.9568299,6.7938029
10264760795,8.0360114,6.7924501
5974630883,7.9040309,6.7971057
6130995689,7.8673564,6.8716612
7942961645,8.1507313,6.779872
10260996591,8.0474379,6.8344169
7942961651,8.1552038,6.7786691
10214234617,7.9629619,6.9466579
10209956346,8.0027047,6.8924596
10213904890,7.9343071,6.9575318
6069144061,8.0085574,6.8560522
10188034559,8.0044995,6.8592989
10213904895,7.934605,6.9570679
10184606209,7.9740219,6.860164
10188034562,8.0045666,6.8589629
10188034563,8.0049989,6.8597442
10260996608,8.045533,6.8394396
10260996614,8.0470868,6.8342793
10188034567,8.0053246,6.8591656
10214238726,7.9654728,6.9661412
5974952457,7.9261271,6.8672648
10188034571,8.0054064,6.8585745
10188034572,8.0056496,6.8591032
10260996620,8.0490495,6.8375663
10188034574,8.0053574,6.8591877
10188034578,8.0044924,6.8589538
10188034579,8.0093575,6.8568206
6130995730,7.8685503,6.8725015
10260677141,7.8489072,6.921387
6130995733,7.868976,6.8726657
10188034582,8.0090292,6.8565845
10207056406,7.9890988,6.9010558
6130993689,7.8674974,6.8722647
6130995737,7.8687084,6.8722306
6130995739,7.868543,6.8719845
10207402521,7.9806978,6.9101106
7698768414,8.0359187,6.9358282
6130995743,7.8679956,6.8719938
10178374179,8.1041513,6.8267979
10259532328,7.8785113,6.9405996
10259532333,7.8786376,6.9410812
6130539054,7.8330166,6.7822257
7698768436,8.0240704,6.9347077
6067278391,8.0483015,6.8363776
6067278392,8.0466869,6.8359923
10213904953,7.9358219,6.9548725
10214234683,7.9553614,6.9407892
10214234686,7.955271,6.9403926
10240322113,8.0668084,6.8433079
6067278402,8.045255,6.8349579
10207001721,8.0365476,6.888869
10213904965,7.9354606,6.9563551
6067278406,8.044028,6.8355802
10207001722,8.0367309,6.8888336
5725071947,8.0961354,6.7915398
6067278412,8.0420051,6.8377624
6067278413,8.0419537,6.8380316
10183518799,7.9559914,6.7975089
10213904975,7.9347779,6.9562509
10235914835,7.8579092,6.8484587
7698768471,8.0121211,6.9343123
7698768472,8.0114531,6.9343257
10183518809,7.9545833,6.7951316
10235914843,7.8578459,6.847681
7698768476,8.0091273,6.9336086
10235914850,7.8574226,6.8474232
10214146665,7.9640041,6.9478805
10207001729,8.0366506,6.8897771
10214146668,7.9638848,6.9483142
10207027823,8.0371119,6.8900203
10260996729,8.0419874,6.8350893
10213933698,7.9368425,6.9534767
7942961795,8.1673168,6.7909274
10207402630,7.9740944,6.9103496
7698768520,7.9888366,6.9248281
10207027854,8.0375146,6.8882207
10242366097,8.0483236,6.8322799
10260996756,8.0500003,6.837447
3856231061,8.0059297,6.8582118
7698768534,7.9913594,6.9356523
10242366108,8.0468934,6.8319502
10235914908,7.8574921,6.8478867
10117477034,8.0095793,6.9338603
10207027884,8.0374241,6.8861304
10117477038,8.0122232,6.9340977
3856231097,8.034031,6.92391
10207027898,8.037071,6.8848747
7942961852,8.164318,6.789009
6130993856,7.8763238,6.9175592
6130993857,7.8763584,6.9177148
10235914945,7.8571617,6.8472424
7942961857,8.1650574,6.7894738
10260996805,8.0415306,6.8351483
10235914951,7.85782,6.847797
10207027912,8.036436,6.8833947
