ADM1_NAME,ADM2_NAME,s2_ha,s1_ha,fused_ha,population,pop_affected
Abia,Umu-Nneochi,7.9051099609375,14.82193193359375,22.727041894531254,206589.5213321795,137.13507986068726
Abia,Isuikwuato,2.96570546875,5.9306089843750005,8.896314453125001,146593.24091203074,40.64039897918701
Abia,Umuahia  North,22.730512876455272,1.97722724609375,24.70774012254902,283077.99937608663,293.5543810956618
Abia,Umuahia South,9.722304482613358,3.9554765625000003,13.67778104511336,175762.77782441498,355.93080344106636
Abia,Isiala Ngwa North,35.651947394301466,0.0,35.651947394301466,194990.1887066449,285.5369201996747
Abia,Isiala Ngwa South,9.104828492264094,0.989168359375,10.093996851639094,173026.58951740246,50.08456124978907
Abia,Oboma Ngwa,54.45337696040134,3.9580361328125,58.411413093213866,231260.77825477128,905.9500885028465
Abia,Aba North,29.10960413602941,1.9789619140624999,30.09909651884191,136852.74520963777,2474.6567677965354
Abia,Aba South,5.93690732421875,1.9790236328125,7.915930957031251,538691.4547467434,1643.032943725586
Abia,Ugwunagbo,13.855063769531249,0.0,13.855063769531249,108072.53868167278,249.76896476745605
Abia,Bende,12.852668066406249,2.9660193359375,15.818687402343752,243566.6842755602,39.22695302963257
Abia,Ohafia,6.91987802734375,0.0,6.91987802734375,311368.9345332009,133.69212937355042
Abia,Arochukwu,5.93247841796875,0.9890484375,6.92152685546875,214047.68208239414,97.92098212242126
Abia,Ikwuano,122.64426894531256,0.0,122.64426894531256,174443.74653474998,1226.5243604183197
Abia,Osisioma Ngwa,20.416444910768995,2.96820078125,22.395271180300245,279205.14912427455,810.791677532944
Abia,Ukwa West,81.12167328431372,30.7059078772212,109.84802237247241,111038.1124925492,458.06068656865295
Abia,Ukwa East,82.47808888020829,7.91882275390625,89.40704932942707,73736.42346502145,305.3752257178811
Abuja,Bwari,149.09500322265606,526.4438559034156,642.1881807081028,684018.6879156472,4648.629169855749
Abuja,Gwagwalada,81.48786457490809,198.6898279821538,267.42014333831185,471462.2643207931,2096.4721376295183
Abuja,Abuja Municipal,30.425117871093754,486.8768792321539,510.43268518918524,2309913.4762787167,12502.7624592545
Abuja,Kwali,101.1275493872549,504.0958038959103,585.5777574823837,256879.16787162033,1335.1160050962485
Abuja,Abaji,83.52344091796884,203.55593952091002,276.2684722357536,174605.3412219444,514.945993727095
Abuja,Kuje,0.98205615234375,141.44722165479473,141.44722165479473,289388.6006660429,181.19323751716053
Adamawa,Mubi North,0.97814921875,463.7599091961549,464.7380584149049,217808.23447569806,1421.1459650724541
Adamawa,Mubi South,0.0,133.22506066329666,133.22506066329666,184031.0729145981,986.9461075348013
