month,precipitation_mean,precipitation_std
1,4.3391869797813385,5.937198094161852
2,11.64356935728168,13.29139848912826
3,33.944871083505596,19.899972018727915
4,113.52077304994008,32.63089800654382
5,176.61005974572427,42.39669549821466
6,178.15213825905576,34.12013792721124
7,205.79268096131557,51.84837348634735
8,216.6827667095796,69.25379687440768
9,236.8360261560407,46.866101861715556
10,156.41062952095487,45.7663167047445
11,14.43278199392981,13.636496516823462
12,3.5870408676794963,3.055261729364951
