ADM1_NAME,clim_mean_mm,actual_2022_mm,anomaly_mm,anomaly_pct
Kano,206.92707874564817,299.4138976767172,92.48681893106905,44.7
Jigawa,114.97072913307602,205.7887840973582,90.81805496428217,79.0
Kebbi,229.86555639742647,301.49506382378263,71.62950742635616,31.2
Katsina,165.74702550688545,234.8694775434165,69.12245203653106,41.7
Bauchi,245.49218412515037,310.41346866182636,64.92128453667598,26.4
Sokoto,128.75352082371927,180.9676531174432,52.214132293723935,40.6
Borno,161.6821525826115,210.94588286554276,49.26373028293125,30.5
Oyo,388.6994507211827,436.30785117603307,47.60840045485037,12.2
Lagos,436.16447794100253,480.46063518636373,44.2961572453612,10.2
Ogun,425.0697842776749,464.75106575753654,39.68128147986164,9.3
Yobe,132.30190035586295,169.80575596087039,37.50385560500743,28.3
Ondo,532.8599740837409,566.7747855931839,33.914811509442984,6.4
Kwara,359.8658790736487,393.3392549723688,33.473375898720064,9.3
Gombe,256.42233784763687,285.967420400138,29.54508255250113,11.5
Niger,410.6551011535051,435.74891930116155,25.093818147656464,6.1
Zamfara,232.48495487041117,256.9810866468852,24.496131776474044,10.5
Plateau,369.2609802254307,393.23698583631557,23.97600561088484,6.5
Nassarawa,403.10630937669015,423.92151162963825,20.815202252948097,5.2
Abuja,416.13098886186503,432.83104665063127,16.70005778876623,4.0
Adamawa,318.1310074832058,320.8249710746939,2.6939635914881137,0.8
Osun,493.83358109097225,493.57602905150713,-0.25755203946511074,-0.1
Taraba,536.5592785245303,522.6985437849618,-13.860734739568557,-2.6
Ekiti,476.0427058158384,451.3199167751088,-24.722789040729594,-5.2
Kogi,436.26526480944307,402.28775829015194,-33.977506519291126,-7.8
Edo,583.0397842666356,546.295525406388,-36.744258860247555,-6.3
Benue,546.1563662794417,505.53136817500905,-40.62499810443268,-7.4
Kaduna,447.75640060234116,406.1518443777207,-41.60455622462047,-9.3
Ebonyi,620.8251908654288,575.9979341504883,-44.82725671494052,-7.2
Enugu,534.8459205799381,458.097808481359,-76.74811209857916,-14.3
Cross River,725.7037952961746,646.7598796301394,-78.9439156660352,-10.9
Akwa Ibom,791.7171226200751,674.2324304985882,-117.48469212148689,-14.8
Imo,687.7049096599754,566.6469731440303,-121.05793651594513,-17.6
Abia,654.0954992148226,526.9432349357164,-127.15226427910613,-19.4
Anambra,594.0585337587588,462.6935555195196,-131.36497823923924,-22.1
Delta,800.7395106071995,620.9755453638342,-179.7639652433653,-22.4
Rivers,803.6226955271633,616.385107732552,-187.23758779461127,-23.3
Bayelsa,963.1942233244066,709.8082354649617,-253.38598785944487,-26.3
