,Mean,Std Dev,Min,Median (50%),Max
MNDWI_Pre,-0.427,0.17,-0.615,-0.466,0.846
MNDWI_Flood,-0.369,0.31,-0.609,-0.475,0.835
Delta_MNDWI,0.058,0.276,-0.481,-0.002,1.322
NDWI_Pre,-0.564,0.112,-0.759,-0.587,0.137
NDWI_Flood,-0.496,0.231,-0.722,-0.571,0.429
Delta_NDWI,0.067,0.214,-0.331,0.022,1.064
NDVI_Pre,0.646,0.156,-0.205,0.679,0.877
NDVI_Flood,0.569,0.275,-0.471,0.658,0.863
Delta_NDVI,-0.076,0.254,-1.216,-0.028,0.424
