VH,VV,date,month,year,VV_mean,VV_std,VH_mean,VH_std,z_VV,z_VH
-16.37661837492111,-10.26085507708315,2019-01-01,1,2019,-10.237379405819645,0.13096860684606795,-16.616730845578036,0.21381818164690314,-0.1792465525047272,1.1229749912168079
-16.84098239732934,-10.504703814059427,2019-02-01,2,2019,-10.532549344551748,0.13805427801526066,-17.08885365544118,0.25418101024439593,0.20169987408317205,0.9751761466110719
-17.048482576533537,-10.203859746191192,2019-03-01,3,2019,-10.463795790823449,0.19833611339589993,-17.243638554429367,0.21485738101342608,1.310583535099313,0.9083047413839362
-17.09549304069862,-10.14482673649875,2019-04-01,4,2019,-10.036631603316819,0.25504878721795593,-16.933327580572485,0.316356564315866,-0.42421347837843937,-0.5126034304893455
-16.12160430510891,-9.276908831166608,2019-05-01,5,2019,-8.900584890890112,0.3266103717275747,-15.711621362551494,0.2919430582421254,-1.1522106241941004,-1.4043250249759103
-15.1342042872318,-8.346192898414527,2019-06-01,6,2019,-8.402322173167224,0.1957351932819737,-15.138327942584088,0.22487966266348894,0.2867612809508315,0.018337164434733825
-14.965252249699137,-8.200567337661443,2019-07-01,7,2019,-8.221891185624454,0.19693723103294744,-14.928366532799277,0.22249294673492107,0.10827738285526729,-0.16578375827709263
-14.811499038767378,-8.072325266669054,2019-08-01,8,2019,-8.139852960706998,0.3803865739618276,-14.816123675917469,0.39724128101496625,0.17752386298660527,0.011641884595363626
-14.779024588926609,-8.118609111634399,2019-09-01,9,2019,-8.26305656455264,0.1516403913394506,-14.856459537469526,0.1613154334179414,0.9525658147036307,0.48002194769731843
-14.957435385650012,-8.386966311901999,2019-10-01,10,2019,-8.546008385990397,0.22040074283241073,-15.074102176052998,0.2347382777320893,0.721604074671073,0.49700795085554755
-15.333854610725528,-8.815860976132287,2019-11-01,11,2019,-8.978371836358496,0.22793714484734898,-15.421866856125499,0.22002154386708292,0.7129634809413978,0.4000164886268613
-15.992443362165512,-9.523275051459956,2019-12-01,12,2019,-9.73538645873448,0.18611691363611682,-16.176800187588853,0.17748504321439704,1.1396675515973227,1.0387175284434726
-16.501886601308232,-10.060441515227675,2020-01-01,1,2020,-10.237379405819645,0.13096860684606795,-16.616730845578036,0.21381818164690314,1.3509946761511473,0.537111687066241
-16.9200282293905,-10.377110016981472,2020-02-01,2,2020,-10.532549344551748,0.13805427801526066,-17.08885365544118,0.25418101024439593,1.1259290896664116,0.6641937015214265
-17.072339245146967,-10.414356750725903,2020-03-01,3,2020,-10.463795790823449,0.19833611339589993,-17.243638554429367,0.21485738101342608,0.24926897704635673,0.7972698376682521
-16.483703993329176,-9.678056704301882,2020-04-01,4,2020,-10.036631603316819,0.25504878721795593,-16.933327580572485,0.316356564315866,1.4059070930163273,1.421255753664029
-15.606742866962415,-8.879454997955419,2020-05-01,5,2020,-8.900584890890112,0.3266103717275747,-15.711621362551494,0.2919430582421254,0.06469449461426746,0.35924298464427473
-14.88375701659136,-8.22270446049729,2020-06-01,6,2020,-8.402322173167224,0.1957351932819737,-15.138327942584088,0.22487966266348894,0.9176567057676697,1.1320317852560475
-14.669369280792825,-8.000644472900163,2020-07-01,7,2020,-8.221891185624454,0.19693723103294744,-14.928366532799277,0.22249294673492107,1.1234377144628207,1.1640694943692862
-15.342715664382796,-8.646774691789144,2020-08-01,8,2020,-8.139852960706998,0.3803865739618276,-14.816123675917469,0.39724128101496625,-1.3326488519361266,-1.3256225212039017
-14.748461161823753,-8.249571433274326,2020-09-01,9,2020,-8.26305656455264,0.1516403913394506,-14.856459537469526,0.1613154334179414,0.08892835978065343,0.6694856986557928
-15.344316915514495,-8.797592497060734,2020-10-01,10,2020,-8.546008385990397,0.22040074283241073,-15.074102176052998,0.2347382777320893,-1.1414848599745278,-1.151131984404768
-15.672270321977951,-9.238925920210452,2020-11-01,11,2020,-8.978371836358496,0.22793714484734898,-15.421866856125499,0.22002154386708292,-1.1430961988510049,-1.138086123074035
-16.346505119986933,-9.871376569321772,2020-12-01,12,2020,-9.73538645873448,0.18611691363611682,-16.176800187588853,0.17748504321439704,-0.7306703508589792,-0.9561646960475484
-16.75350103023973,-10.251561025923285,2021-01-01,1,2021,-10.237379405819645,0.13096860684606795,-16.616730845578036,0.21381818164690314,-0.10828259111214625,-0.6396564763961614
-17.204833957780814,-10.536318218648887,2021-02-01,2,2021,-10.532549344551748,0.13805427801526066,-17.08885365544118,0.25418101024439593,-0.027299944277873436,-0.4562901934653473
-17.382611058722,-10.609992039990114,2021-03-01,3,2021,-10.463795790823449,0.19833611339589993,-17.243638554429367,0.21485738101342608,-0.737113613166567,-0.6468128003661525
-17.200485435891537,-10.270270766929247,2021-04-01,4,2021,-10.036631603316819,0.25504878721795593,-16.933327580572485,0.316356564315866,-0.9160567519686681,-0.8444833629319243
-15.681670880413646,-8.962649523232319,2021-05-01,5,2021,-8.900584890890112,0.3266103717275747,-15.711621362551494,0.2919430582421254,-0.19002652002115392,0.10259015000455213
-15.104231383668981,-8.359361189170974,2021-06-01,6,2021,-8.402322173167224,0.1957351932819737,-15.138327942584088,0.22487966266348894,0.21948523040698933,0.15162135388885017
-15.205859126759098,-8.480157789624732,2021-07-01,7,2021,-8.221891185624454,0.19693723103294744,-14.928366532799277,0.22249294673492107,-1.311415838669278,-1.2471972618998401
-14.728137743775592,-8.115115740798418,2021-08-01,8,2021,-8.139852960706998,0.3803865739618276,-14.816123675917469,0.39724128101496625,0.06503179029410923,0.22149241870600408
-15.041892861658214,-8.420989148749197,2021-09-01,9,2021,-8.26305656455264,0.1516403913394506,-14.856459537469526,0.1613154334179414,-1.0414941744842958,-1.1495076463531002
-14.920554226994485,-8.453466349008462,2021-10-01,10,2021,-8.546008385990397,0.22040074283241073,-15.074102176052998,0.2347382777320893,0.4198807853034468,0.6541240335492281
-15.259475635673024,-8.880328612732749,2021-11-01,11,2021,-8.978371836358496,0.22793714484734898,-15.421866856125499,0.22002154386708292,0.43013271790961494,0.7380696344471495
-16.19145208061412,-9.81150775542171,2021-12-01,12,2021,-9.73538645873448,0.18611691363611682,-16.176800187588853,0.17748504321439704,-0.4089972007383338,-0.08255283239595425
-16.834917375843073,-10.376660005044474,2022-01-01,1,2022,-10.237379405819645,0.13096860684606795,-16.616730845578036,0.21381818164690314,-1.063465532534301,-1.0204302018868874
-17.389570037264072,-10.712065328517205,2022-02-01,2,2022,-10.532549344551748,0.13805427801526066,-17.08885365544118,0.25418101024439593,-1.3003290194716972,-1.183079654667165
-17.471121337314965,-10.626974626386588,2022-03-01,3,2022,-10.463795790823449,0.19833611339589993,-17.243638554429367,0.21485738101342608,-0.8227388989791117,-1.058761778686036
-16.9536278523706,-10.053372205537396,2022-04-01,4,2022,-10.036631603316819,0.25504878721795593,-16.933327580572485,0.316356564315866,-0.06563686266922682,-0.06416896024274785
-15.436467397721001,-8.483326211206107,2022-05-01,5,2022,-8.900584890890112,0.3266103717275747,-15.711621362551494,0.2919430582421254,1.2775426496009759,0.9424918903270896
-15.431119082844212,-8.681030144586103,2022-06-01,6,2022,-8.402322173167224,0.1957351932819737,-15.138327942584088,0.22487966266348894,-1.4239032171254724,-1.3019903035796474
-14.872985473946047,-8.20619514231148,2022-07-01,7,2022,-8.221891185624454,0.19693723103294744,-14.928366532799277,0.22249294673492107,0.07970074135118087,0.24891152580765455
-14.38214225674411,-7.725196143571378,2022-08-01,8,2022,-8.139852960706998,0.3803865739618276,-14.816123675917469,0.39724128101496625,1.0900931986554052,1.0924882179025295
