MNDWI,NBR,NDVI,date,month,year,NDVI_mean,NDVI_std,MNDWI_mean,MNDWI_std,NBR_mean,NBR_std,z_NDVI,z_MNDWI,z_NBR
-0.44124896143096487,0.10363935792981613,0.3142016054967442,2019-01-01,1,2019,0.3127440864958148,0.01483958052250194,-0.44020539683211335,0.012084946842535166,0.09963112480085516,0.023871508421610538,0.09821834240659853,-0.08635243600563518,0.16790866576878613
-0.3707579316510516,0.09095899394259774,0.2557403339355613,2019-02-01,2,2019,0.2705682812972725,0.016686800396733394,-0.4273776308177524,0.04570445317017471,0.05547364356383777,0.02390439180948947,-0.8886033876580642,1.238822373738606,1.4844699108668866
-0.40784339969382455,0.08996251413336123,0.32149913570344557,2019-03-01,3,2019,0.28582312879340777,0.027231274720844672,-0.41357206252604906,0.012511950257186011,0.059429051338129965,0.022852317855697208,1.310111527123222,0.45785530748368775,1.336121044177543
-0.39188714420118625,0.13269477078809042,0.3534384442625318,2019-04-01,4,2019,0.4081309940543325,0.06152393784117879,-0.442511687317016,0.04162322952392434,0.14781715352856767,0.04152234284877869,-0.8889637385205579,1.2162569722450685,-0.36419868685039897
-0.44406391546209145,0.262368635413642,0.5231556594472494,2019-05-01,5,2019,0.5400337752276301,0.04314900527129165,-0.4045878477208297,0.044164863375471056,0.3229788499336405,0.04790751645971326,-0.3911588615835415,-0.8938342547480083,-1.2651504189528855
-0.3512387145776538,0.4381672999245512,0.594167233996619,2019-06-01,6,2019,0.5567132369846013,0.03288471435423138,-0.32663126795955766,0.020837725819125144,0.4181947806965564,0.019105316342871645,1.1389485281388299,-1.18090845573518,1.0453906582628625
-0.40134834583021983,0.4725676294388037,0.656997803025881,2019-07-01,7,2019,0.648275097307248,0.011249222030512505,-0.4050779865017749,0.02071458706284173,0.4582123984790711,0.025267621149362384,0.7754052409111872,0.18004899929892287,0.568127520785425
-0.30218872808515007,0.44118481723288633,0.5625606066923626,2019-08-01,8,2019,0.5971661186013877,0.02456985251544212,-0.36966308912917756,0.05766442766514424,0.4289744854409464,0.02514544533682445,-1.4084541975689735,1.1701210568818832,0.4855882100468669
-0.2571544805582145,0.4348117938719816,0.5050963618006872,2019-09-01,9,2019,0.5511354783262049,0.049743572806238055,-0.32419021248152297,0.06305789698288289,0.43073812452928695,0.005357557384158659,-0.9255289463193571,1.0630822645656162,0.7603594419239943
-0.3020512630846513,0.4479772017744148,0.5509532933769782,2019-10-01,10,2019,0.5818317118714308,0.06652767313998233,-0.36670318463149326,0.08417569232983467,0.4300774468394762,0.016547506258612964,-0.4641439725312601,0.7680592788415613,1.0817191820442313
-0.4490177239692089,0.3569063340384312,0.5764174927079531,2019-11-01,11,2019,0.5514478218055735,0.03368900290729058,-0.44900279488674827,0.008651890852693536,0.3315450444436591,0.036218082723073544,0.7411816541764112,-0.0017255282937369129,0.7002383253880828
-0.5143418100955748,0.2257285195817304,0.4981057444582988,2019-12-01,12,2019,0.4489632056876826,0.050153863751426116,-0.4973480315979639,0.020041965732433994,0.19843693490469946,0.03539826157123801,0.979835551936292,-0.8479097671597031,0.7709865814203161
