date,z_NDVI,z_MNDWI,z_NBR,z_VH,flag_NDVI,flag_MNDWI,flag_NBR,flag_VH,confidence_score
2022-10-01,-0.20153631595551907,-0.03798309102552398,-0.5966487579499656,-0.21643498297130986,False,False,False,False,0
2022-11-01,-0.7531140126244434,-2.2397637016671386,-1.2361670876682567,-1.6107471724867455,False,False,False,True,1
2022-12-01,-0.26981148995235765,-1.3813702745562966,-1.0525402443533338,-2.506259165397763,False,False,False,True,1
2023-01-01,1.1278607229804996,-3.656296784514648,-0.33564656355182965,-2.093164122824921,False,False,False,True,1
2023-02-01,0.8361754432929828,-0.30597971050446543,0.24598914358847832,-1.1020365643805958,False,False,False,False,0
2023-03-01,3.073081544839655,-8.04699992033189,0.23718416832263214,-0.34596716798134125,False,False,False,False,0
2023-04-01,-0.6921364202438685,0.6436981995946072,-0.19418038125795492,-1.5020262112806548,False,False,False,True,1
2023-05-01,-0.8355172073742293,-0.6295476311291022,-1.2928999051471086,-1.589231990525529,False,False,False,True,1
2023-06-01,-0.29116131614147783,0.48300118808902315,-1.0884282756445482,-0.3015952938566863,False,False,False,False,0
2023-07-01,-0.3510169762018593,0.3943680218022005,-0.006263006840603658,-0.2151566254450919,False,False,False,False,0
2023-08-01,2.867495217930004,-1.2376203521040225,1.3234652799532147,-0.6086761145173399,False,False,False,False,0
2023-09-01,2.207902419284529,-1.7696354517272923,5.587128354992293,-0.4868097022394792,False,False,False,False,0
2023-10-01,0.3766601876102623,-0.1467419147452871,1.5926138470046625,0.4488687075944266,False,False,False,False,0
2023-11-01,0.055852865576236685,-2.9849077376853947,-0.472998329059209,1.3489701559975384,False,False,False,False,0
2023-12-01,0.8417796970881136,-1.4919989007037122,-0.03311235982704365,-0.016733783506093114,False,False,False,False,0
2024-01-01,4.996632091692422,-6.910482202614599,0.5685651538664682,-1.2474447439231453,False,False,False,False,0
2024-02-01,2.546392352080815,-2.8672507071192794,-1.1556204016977645,-2.33858646200575,False,False,False,True,1
2024-03-01,3.215950322810956,-7.52998559641618,0.8154036403774179,-1.0555430597964854,False,False,False,False,0
2024-04-01,0.038330835788540886,-0.7131808490974165,-0.07565103329684629,-1.3904397379495999,False,False,False,False,0
2024-05-01,-0.7774417824896063,-0.8333233103217073,-1.2855235770293714,-2.5363699390636096,False,False,False,True,1
2024-06-01,-0.5126493744648984,-1.639321460186591,-2.4808795936214807,0.09904698891509521,False,False,True,False,1
2024-07-01,-6.149247574430528,1.1080977113345325,-2.5650152405020297,-0.8249563866707073,True,False,True,False,2
2024-08-01,-0.737269734442158,-0.8813946385065814,-2.286701111488566,-0.6233900150693011,False,False,True,False,1
2024-09-01,0.765189534531008,-1.2425130333299366,-7.917021150948157,0.10033179662213197,False,False,True,False,1
2024-10-01,0.5889381534319719,-0.19317885696531167,2.5495597152215064,-0.7761324556357962,False,False,False,False,0
2024-11-01,0.12714408174278213,-3.43920039768577,-0.49462945088255517,-1.9187870059228525,False,False,False,True,1
2024-12-01,-0.5948256753182267,-1.011040434373555,-0.4375052723401658,-1.969236909848323,False,False,False,True,1
2025-01-01,3.231594724456769,-8.898707837559911,-0.6627063658220916,-3.185335232677166,False,False,False,True,1
2025-02-01,2.8482027933839844,-2.332307826885416,-0.15657488663144928,-2.437744417292392,False,False,False,True,1
2025-03-01,0.7335156337864026,-5.104865113990123,0.25510583201408826,-2.9650932709704407,False,False,False,True,1
2025-04-01,-0.5795082989083078,-1.7061553672948293,-1.8659529091355398,-2.631831878783453,False,False,True,True,2
2025-05-01,-0.5315286621682302,-1.5242604592128175,-1.6566280796147872,-2.7261442069151998,False,False,True,True,2
2025-06-01,2.08881858767724,-5.261520757943471,-0.843772075615416,-1.322512664555632,False,False,False,False,0
2025-07-01,-2.2091344412088083,-1.1003203129740258,-1.7135735667711094,0.7289654173239613,True,False,True,False,2
2025-08-01,-4.464958550025474,2.4188877309692556,0.3134766690752603,-0.5270227548970787,True,True,False,False,2
2025-09-01,0.4474992339723508,-0.3003434429788856,0.7344002556557645,-1.4298474676869557,False,False,False,False,0
2025-10-01,0.5923398628004087,-0.36655808237198984,1.4524850573240706,-1.0145023178147492,False,False,False,False,0
2025-11-01,0.8070535095721787,-3.0700982572641586,0.46931079885910687,-0.5723180364823656,False,False,False,False,0
2025-12-01,-0.2708357010297867,0.04772424528210498,-0.12430889636728361,-1.2934866095124868,False,False,False,False,0
2026-01-01,1.7244244012190604,-5.482157158444091,-0.0030710851764852083,-2.2567836984101177,False,False,False,True,1
2026-02-01,5.5537435702659375,-2.9649638002891714,-0.32443647881343085,-1.4617940005570502,False,False,False,False,0
2026-03-01,2.4367560085188438,-8.043936442179938,0.4211177810507372,-2.2051527808744873,False,False,False,True,1
2026-04-01,-0.34832653903894917,-0.409614930090953,-0.2570928923498039,-1.9895252819742844,False,False,False,True,1
2026-05-01,-0.37240583334944377,-1.0411004825909214,-0.9764382869995208,-2.8157824385379064,False,False,False,True,1
2026-06-01,-0.0692973634241231,1.1417089154937798,0.6975898803545819,1.2144265609667877,False,False,False,False,0
2026-07-01,-1.6224848680947268,0.17265842213625088,-0.48065683251366764,-0.6872423588387836,True,False,False,False,1
2026-08-01,2.463761341347458,-0.7023393685598053,1.3844333810776361,-0.4984198378416648,False,False,False,False,0
2026-09-01,,,,,False,False,False,False,0
