edge_id,highway_str,impact_fraction,length_km
8564110075_10189163740_0,tertiary,0.694333557273192,2.7751728512583713
10189163740_8564110075_0,tertiary,0.694333557273192,2.7751728512583704
5269618587_6507407108_0,tertiary,0.5018650261388033,2.6868704905574523
6507407108_5269618587_0,tertiary,0.5018650261388033,2.6868704905574514
5210350866_5210350840_0,tertiary,0.9249996034075225,1.996913307295308
5210350840_5210350866_0,tertiary,0.9249996034075225,1.9969133072953078
5210350826_5210350866_0,trunk,0.6711046850855651,1.9712840820078712
5210350866_5210350826_0,trunk,0.6711046850855651,1.971284082007871
5610467080_317746070_0,trunk,0.5081124189668129,1.908879809884871
317746070_5610467072_0,trunk,0.5022314146866432,1.877400545045684
5974921486_5974920971_0,tertiary,0.9900568834486625,1.363206416254248
5974920971_5974921486_0,tertiary,0.9900568834486625,1.363206416254248
1844885834_1847203005_0,tertiary,0.7094890277366661,0.7656221948196411
1847203005_1844885834_0,tertiary,0.7094890277366661,0.765622194819641
5210350840_5974920971_0,tertiary,0.9972186167253848,0.5501303368487537
5974920971_5210350840_0,tertiary,0.9972186167253848,0.5501303368487537
6004209307_6507407108_0,tertiary,0.7788979529013389,0.4621295769522176
6507407108_6004209307_0,tertiary,0.7788979529013389,0.46212957695221757
6502553128_6047543135_0,trunk,0.7828874927132584,0.4564852160296993
6047543135_6502553128_0,trunk,0.7828874927132584,0.4564852160296993
5482736604_5493597312_0,trunk,0.7690479356425768,0.34634092250419507
5482737018_5482736603_0,trunk,0.7299403123771401,0.138367683660305
5973729706_6130995583_0,tertiary,0.7244781922893514,0.13392660353894523
6130995583_5973729706_0,tertiary,0.7244781922893514,0.13392660353894523
3799447861_10267905318_0,tertiary,0.9749268168512155,0.10992735419004356
10267905318_3799447861_0,tertiary,0.9749268168512155,0.10992735419004356
6130995591_6130995583_0,tertiary,0.6295213578253848,0.10657306239795712
6130995583_6130995591_0,tertiary,0.6295213578253848,0.10657306239795712
6004209307_5973729706_0,tertiary,0.9825493986254294,0.07884356780519855
5973729706_6004209307_0,tertiary,0.9825493986254294,0.07884356780519855
10239199974_5482736604_0,trunk,0.7591525627175609,0.06546115379271321
1844885834_1844885851_0,tertiary,1.0,0.058980311584969636
1844885851_1844885834_0,tertiary,1.0,0.058980311584969636
5974921486_5974921487_0,tertiary,0.5297112614724994,0.055455691283008084
5974921487_5974921486_0,tertiary,0.5297112614724994,0.05545569128300808
10189163740_10267905318_0,tertiary,1.0,0.03713124122150771
10267905318_10189163740_0,tertiary,1.0,0.03713124122150771
5688076629_937786628_0,primary_link,0.7133049448161987,0.032026695796027904
937786628_5688076629_0,primary_link,0.7133049448161987,0.032026695796027904
5482736604_5482736603_0,trunk_link,0.6928994829108336,0.008853702103999172
5482736603_5482736604_0,trunk_link,0.6928994829108336,0.008853702103999172
